MEAN,MAGNITUDE ,PLACE,DATE,TIME(GMT),TIME(IST),DIFFERENCE TIME,DIFFERENCE TIME,Initial time,DEPTH,LATITUDE,LONGITUDE,SHAKING INTENSITY,Status
3.3,2.4,XIZANG,04-03-2023,04:52:28,23:22:28,03:39:54,219.9,1402.47,10KM,29.35,90.58,LIGHT,1
0,4.2,XIZANG,04-03-2023,01:12:34,19:42:34,0,0,,10KM,33.54,84.41,LIGHT,1
4.1,4.3,TAJIKAN,04-02-2023,16:33:01,11:03:01,12:12:42,732.7,2103.02,130 KM,36.87,71.68,WEAK,0
0,3.9,TAJIKAN,04-02-2023,04:21:19,22:51:19,0,0,,190 KM,37.62,72.41,VERY WEAK,0
4,4.5,NEPAL,04-01-2023,11:12:30,05:42:30,08:08:00,488,1782.5,25 KM,27.65,85.6,LIGHT,1
0,3.5,NEPAL,04-01-2023,03:04:30,21:34:30,0,0,,25 KM,27.78,85.25,LIGHT,1
4.2,4.3,AFGHANAN,3/29/2023,13:39:20,08:09:20,05:12:37,312.6167,1929.33,120 KM,36.34,70.82,VERY WEAK,0
0,4,AFGHANAN,3/29/2023,13:02:51,07:32:51,0,0,,10 KM,36.55,71.23,LIGHT,1
0,4.3,AFGHANAN,3/29/2023,05:49:06,00:19:06,00:00:00,0,,10 KM,34.45,70.13,LIGHT,1
3.86,3.9,TAJIKAN,3/29/2023,07:13:14,01:43:14,04:15:30,255.5,1543.23,160 KM,39.75,68.92,VERY WEAK,0
0,3.8,TAJIKAN,3/29/2023,02:57:44,21:27:44,00:00:00,0,,10 KM,37.9,73.08,LIGHT,1
0,3.9,TAJIKAN,3/29/2023,03:42:36,22:12:36,00:00:00,0,,10 KM,37.36,72.4,LIGHT,1
3.9,3.9,XINJIANG,3/25/2023,22:10:05,16:40:05,01:20:09,80.15,2440.08,24 KM,36.47,76.4,LIGHT,1
0,4.4,XINJIANG,3/25/2023,20:49:56,15:19:56,00:00:00,0,,150 KM,39.14,77.65,WEAK,0
3.75,4,MYANMAR,3/25/2023,17:33:44,12:03:44,05:11:56,311.9333,2163.73,10 KM,22.86,96.03,LIGHT,1
0,3.5,MYANMAR,3/25/2023,12:21:48,06:51:48,00:00:00,0,,10 KM,18.47,95.22,LIGHT,1
4.93,4.4,TAJIKAN,3/23/2023,11:02:41,05:32:41,01:01:02,61.0333,1772.68,114 KM,36.7,71.79,VERY WEAK,0
0,4.6,TAJIKAN,3/23/2023,08:23:52,02:53:52,00:00:00,0,,10 KM,39.31,69.89,LIGHT,1
0,5.8,TAJIKAN,3/23/2023,01:37:46,20:07:46,00:00:00,0,,10 KM,39.15,69.93,VERY LIGHT,1
3.97,3.9,AFGHANAN,3/22/2023,00:33:14,19:03:14,23:26:30,1406.5,1143.23,60 KM,36.5,71.8,WEAK,0
0,3.6,AFGHANAN,3/21/2023,23:59:44,18:29:44,00:00:00,0,,19 KM,37.15,73.56,LIGHT,1
0,3.4,TAJIKAN,3/20/2023,02:09:41,20:39:41,01:16:35,76.5833,1239.68,10 KM,37.71,72.64,LIGHT,1
0,3.8,TAJIKAN,3/19/2023,23:30:32,18:00:32,00:00:00,0,,70 KM,37.65,72.54,WEAK,0
